year stratum sex length freq prop avg_wt nwt_samples nlen_samples naged
2000 1 1 9 0 0 0 0 0 0
2000 2 1 9 0 0 0 0 0 0
2000 3 1 9 0 0 0 0 0 0
2000 4 1 9 0 0 0 0 0 0
2000 5 1 9 0 0 0 0 0 0
2000 6 1 9 0 0 0 0 0 0
2000 7 1 9 0 0 0 0 0 0
2000 8 1 9 0 0 0 0 0 0
2000 9 1 9 0 0 0 0 0 0
2000 1 2 9 0 0 0 0 0 0
2000 2 2 9 0 0 0 0 0 0
2000 3 2 9 0 0 0 0 0 0
2000 4 2 9 0 0 0 0 0 0
2000 5 2 9 0 0 0 0 0 0
2000 6 2 9 0 0 0 0 0 0
2000 7 2 9 0 0 0 0 0 0
2000 8 2 9 0 0 0 0 0 0
2000 9 2 9 0 0 0 0 0 0
2000 1 1 10 0 0 0 0 0 0
2000 2 1 10 0 0 0 0 0 0
2000 3 1 10 0 0 0 0 0 0
2000 4 1 10 0 0 0 0 0 0
2000 5 1 10 0 0 0 0 0 0
2000 6 1 10 0 0 0 0 0 0
2000 7 1 10 0 0 0 0 0 0
2000 8 1 10 0 0 0 0 0 0
2000 9 1 10 0 0 0 0 0 0
2000 1 2 10 0 0 0 0 0 0
2000 2 2 10 0 0 0 0 0 0
2000 3 2 10 0 0 0 0 0 0
2000 4 2 10 0 0 0 0 0 0
2000 5 2 10 0 0 0 0 0 0
2000 6 2 10 0 0 0 0 0 0
2000 7 2 10 0 0 0 0 0 0
2000 8 2 10 0 0 0 0 0 0
2000 9 2 10 0 0 0 0 0 0
2000 1 1 11 0 0 0 0 0 0
2000 2 1 11 0 0 0 0 0 0
2000 3 1 11 0 0 0 0 0 0
2000 4 1 11 0 0 0 0 0 0
2000 5 1 11 0 0 0 0 0 0
2000 6 1 11 0 0 0 0 0 0
2000 7 1 11 0 0 0 0 0 0
2000 8 1 11 0 0 0 0 0 0
2000 9 1 11 0 0 0 0 0 0
2000 1 2 11 0 0 0 0 0 0
2000 2 2 11 0 0 0 0 0 0
2000 3 2 11 0 0 0 0 0 0
2000 4 2 11 0 0 0 0 0 0
2000 5 2 11 0 0 0 0 0 0
2000 6 2 11 0 0 0 0 0 0
2000 7 2 11 0 0 0 0 0 0
2000 8 2 11 0 0 0 0 0 0
2000 9 2 11 0 0 0 0 0 0
2000 1 1 12 0 0 0 0 0 0
2000 2 1 12 0 0 0 0 0 0
2000 3 1 12 0 0 0 0 0 0
2000 4 1 12 0 0 0 0 0 0
2000 5 1 12 0 0 0 0 0 0
2000 6 1 12 0 0 0 0 0 0
2000 7 1 12 0 0 0 0 0 0
2000 8 1 12 0 0 0 0 0 0
2000 9 1 12 0 0 0 0 0 0
2000 1 2 12 0 0 0 0 0 0
2000 2 2 12 0 0 0 0 0 0
2000 3 2 12 0 0 0 0 0 0
2000 4 2 12 0 0 0 0 0 0
2000 5 2 12 0 0 0 0 0 0
2000 6 2 12 0 0 0 0 0 0
2000 7 2 12 0 0 0 0 0 0
2000 8 2 12 0 0 0 0 0 0
2000 9 2 12 0 0 0 0 0 0
2000 1 1 13 0 0 0 0 0 0
2000 2 1 13 0 0 0 0 0 0
2000 3 1 13 0 0 0 0 0 0
2000 4 1 13 0 0 0 0 0 0
2000 5 1 13 0 0 0 0 0 0
2000 6 1 13 0 0 0 0 0 0
2000 7 1 13 0 0 0 0 0 0
